tokenId,claimIssuer,claimSubject,topic,value,claimData,claimDataDecoded,transactionHash
3,0x899a2f43bA5491dAD2Fac68997065CA1A9b0337c,0x683f9679b7aE05413F26ae985835BAfa0Ddfbe4A,1,18000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002d34376239383736332d316263632d356566632d396532632d3861626437393465663362653b6630363738393134000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d31653463663666662d653637332d356331382d396563352d6339376132383438303662353b663036373839313400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002439306237636237632d636532362d343431652d386135342d35383761346539663034346500000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""47b98763-1bcc-5efc-9e2c-8abd794ef3be;f0678914"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization-"",""consumptionEntityID"":""1e4cf6ff-e673-5c18-9ec5-c97a284806b5;f0678914$"",""proofID"":""90b7cb7c-ce26-441e-8a54-587a4e9f044e""}",0xe4d935411353b642711e867a6a78780e49073843e62e40aaac140ec4f33ba1b5
3,0x1EaA5c3afE3B7949740935b9169B25379e5907FF,0xCCbfEff993c4a1DbF199Dd61aa5dbd683b2c9E4f,1,20000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002e37636139396435372d316364392d356564392d623732312d3833323764353830613439383b6630313035313832380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e64303666393139612d333436642d356439642d613234332d6366666235313233666261353b663031303531383238000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002439363164613733332d366238312d343231342d616632302d35333032346535393464646100000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""7ca99d57-1cd9-5ed9-b721-8327d580a498;f01051828"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization."",""consumptionEntityID"":""d06f919a-346d-5d9d-a243-cffb5123fba5;f01051828$"",""proofID"":""961da733-6b81-4214-af20-53024e594dda""}",0x136a10ee3af269ab5b9bf41d4523932cea3a40ac6288c1a9b25cfa8ba5e244a0
3,0x9Ed794A9544Fe2728Dec3c5a5E6762226674be35,0xa4C816f5be8607928e186FC7E1eF2C77ebB67A60,1,18000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002b65633635633333652d643263342d353038312d396432352d6364633239656237336462323b6630313237380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b63363633623766302d626130332d353463312d616533392d3062636665663738353966363b663031323738000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002436363932613135632d366162322d343531362d626535302d35376264646237666532356600000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""ec65c33e-d2c4-5081-9d25-cdc29eb73db2;f01278"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization+"",""consumptionEntityID"":""c663b7f0-ba03-54c1-ae39-0bcfef7859f6;f01278$"",""proofID"":""6692a15c-6ab2-4516-be50-57bddb7fe25f""}",0x8a59bd7fa6302fef21f07aee4f89fabec2ef5bc0e0d738707c5c46d265b644b5
3,0x11DC561CF06C2E073596D419CE4a88f34d368e48,0xE9d31D8E00cb3562bAb364781d9BceFB377F8D88,1,24000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002c66656161643765372d336636372d353034302d383535322d6536656164643261383339303b6630323231343200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002c31326232396464662d663663302d356230612d383739642d6338376639373934343131653b663032323134320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002439346161376337662d356666392d343566372d386239302d35346231383534363064653100000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""feaad7e7-3f67-5040-8552-e6eadd2a8390;f022142"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization,"",""consumptionEntityID"":""12b29ddf-f6c0-5b0a-879d-c87f9794411e;f022142$"",""proofID"":""94aa7c7f-5ff9-45f7-8b90-54b185460de1""}",0xd532a50de1d1891d5028c1cca421f1a2d30a7b03031e0bad49a323fbc6a55af7
3,0x8289c2fFbe2A4FAC07a93574B247619C84d850Dd,0x0a9F5a004f19e0DEd90B097E9Ccfc667779FF4B9,1,1000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002e31353364393638392d316330652d353163632d396635322d3861396430386662653834613b6630313034353738340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e31623936313164392d383339312d353931662d386239362d3636643166353362353137303b663031303435373834000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002438613830333934352d353033372d343461332d616230302d32373134316536636537616300000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""153d9689-1c0e-51cc-9f52-8a9d08fbe84a;f01045784"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization."",""consumptionEntityID"":""1b9611d9-8391-591f-8b96-66d1f53b5170;f01045784$"",""proofID"":""8a803945-5037-44a3-ab00-27141e6ce7ac""}",0x42809b2bee1e8ca7d936d0c907b10eda70e9143717dc08fb409167dc9732e858
3,0xE5E5547749fA188E80AeF93b2549C6fDaE1018c0,0x35B8d67751e99293faa724ab6bc1aA8EE4714663,1,108000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002d62613931326662332d366134392d353035362d613132382d3963636433313339656338373b6630373633333337000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d65343165343737312d383563322d356130652d386331652d3534313937323537343138633b663037363333333700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002463356135653231392d356666312d343537642d616265642d37383434613632626232666600000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""ba912fb3-6a49-5056-a128-9ccd3139ec87;f0763337"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization-"",""consumptionEntityID"":""e41e4771-85c2-5a0e-8c1e-54197257418c;f0763337$"",""proofID"":""c5a5e219-5ff1-457d-abed-7844a62bb2ff""}",0x6b628b6f758c8dda664db8116963f87f6a5184c672b0102d80708b00db331d57
3,0x0C8Bab76987e78e5873FbCF58c01BBd3F909B22f,0x4C38546ac59244890237dFcdeBc862844b2752B5,1,83000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002c36383735333839652d336262622d356635392d626262652d3161656636393135343738613b6630363635393600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002c32336263316132382d623139392d353638622d623966612d3337303465613538356535303b663036363539360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002438306164656335392d333663632d346230612d393037392d38326166363337353361346100000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""6875389e-3bbb-5f59-bbbe-1aef6915478a;f066596"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization,"",""consumptionEntityID"":""23bc1a28-b199-568b-b9fa-3704ea585e50;f066596$"",""proofID"":""80adec59-36cc-4b0a-9079-82af63753a4a""}",0x0bc5fc3eac550bf77c143e08991b53aa499e43fe841ec3cc880965cb74d60a2e
3,0xFd9c6a18A12Cc98F89D949e7b685a07C12C11Da6,0x25Bf281bE6869857C43Ee496BB191721933BE676,1,1000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002d66363033303136362d323264642d353465652d386334332d6435373332323739383665383b6630373238333437000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d63633064316265302d613039332d353832642d386138612d6232663965336463333439393b663037323833343700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002435383430353437342d643466612d346361622d383936632d31383839343938646334323100000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""f6030166-22dd-54ee-8c43-d573227986e8;f0728347"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization-"",""consumptionEntityID"":""cc0d1be0-a093-582d-8a8a-b2f9e3dc3499;f0728347$"",""proofID"":""58405474-d4fa-4cab-896c-1889498dc421""}",0x319d542701f4d5a74805dc16796b5573d65449ceefcf696c3064c526263444b7
3,0x92701A440f0F0cd6733C5e5c2b46381f326876Fb,0xE9DF78AD5C3205462b50DEd7a6a4F3a74a734c35,1,14000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002d61356361323565352d386166312d353865642d623266342d6630656332346634613135363b6630383238303636000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032312d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d32383933333463652d616461392d353930662d386233392d6431353665356338386330643b663038323830363600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002465356531666566322d356435332d343338652d386331392d37616563333363343038653000000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""a5ca25e5-8af1-58ed-b2f4-f0ec24f4a156;f0828066"",""region"":"""",""countryCode"":""US"",""periodStartDate"":""2021-01-01T00:00:00Z"",""periodEndDate"":""2021-12-31T00:00:00Z"",""purpose"":""Decarbonization-"",""consumptionEntityID"":""289334ce-ada9-590f-8b39-d156e5c88c0d;f0828066$"",""proofID"":""e5e1fef2-5d53-438e-8c19-7aec33c408e0""}",0x45dbfb455ad739823b2d98e53dbe370bacfdf53236c1b15a6d750da445df5a5d
4,0x6dC571c88018ba16556D1b2d27f1Ef11bDD324Ba,0x9c7fc246Ab4f70ED20ffb69009206718C91D4144,1,2000000,0x000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000002b65333062383338332d363632622d353235332d613733662d6232356639306263656562643b663031323334000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024e4f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032302d30312d30315430303a30303a30305a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000014323032302d31322d33315430303a30303a30305a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4465636172626f6e697a6174696f6e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b35663066353061342d303134322d353333322d613865652d6334653663653037356565353b663031323334000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002463393435336235622d613734612d343236372d626561322d30356335393061323263656600000000000000000000000000000000000000000000000000000000,"{""beneficiary"":""e30b8383-662b-5253-a73f-b25f90bceebd;f01234"",""region"":"""",""countryCode"":""NO"",""periodStartDate"":""2020-01-01T00:00:00Z"",""periodEndDate"":""2020-12-31T00:00:00Z"",""purpose"":""Decarbonization+"",""consumptionEntityID"":""5f0f50a4-0142-5332-a8ee-c4e6ce075ee5;f01234$"",""proofID"":""c9453b5b-a74a-4267-bea2-05c590a22cef""}",0x768f130cd4ecc8ecda87b220fb6f221ad5e96a271b955c6b9a90f4a834e0f259
